amount,captured_at,currency,customer_id,ingested_at,merchant_id,order_id,original,payment_id,payment_method,reference_id,source,source_record_id
80030.00,2026-01-05T10:57:00+00:00,INR,CUS_18609,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000011,"{'amount': '80030.00', 'captured_at': '2026-01-05T10:57:00+00:00'}",PAY_000011,netbanking,REF_000011,payments.csv,payments:PAY_000011
69841.00,2026-01-05T11:12:00+00:00,INR,CUS_69469,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000012,"{'amount': '69841.00', 'captured_at': '2026-01-05T11:12:00+00:00'}",PAY_000012,upi,REF_000012,payments.csv,payments:PAY_000012
85616.50,2026-01-05T11:19:00+00:00,INR,CUS_38183,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000013,"{'amount': '85616.50', 'captured_at': '2026-01-05T11:19:00+00:00'}",PAY_000013,card,REF_000013,payments.csv,payments:PAY_000013
59741.25,2026-01-05T11:17:00+00:00,INR,CUS_64524,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000014,"{'amount': '59741.25', 'captured_at': '2026-01-05T11:17:00+00:00'}",PAY_000014,netbanking,REF_000014,payments.csv,payments:PAY_000014
87477.00,2026-01-05T11:32:00+00:00,INR,CUS_59060,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000015,"{'amount': '87477.00', 'captured_at': '2026-01-05T11:32:00+00:00'}",PAY_000015,upi,REF_000015,payments.csv,payments:PAY_000015
12519.25,2026-01-05T11:39:00+00:00,INR,CUS_22656,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000016,"{'amount': '12519.25', 'captured_at': '2026-01-05T11:39:00+00:00'}",PAY_000016,card,REF_000016,payments.csv,payments:PAY_000016
73908.50,2026-01-05T11:38:00+00:00,INR,CUS_53207,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000017,"{'amount': '73908.50', 'captured_at': '2026-01-05T11:38:00+00:00'}",PAY_000017,wallet,REF_000017,payments.csv,payments:PAY_000017
55735.75,2026-01-05T11:48:00+00:00,INR,CUS_16743,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000018,"{'amount': '55735.75', 'captured_at': '2026-01-05T11:48:00+00:00'}",PAY_000018,netbanking,REF_000018,payments.csv,payments:PAY_000018
66807.00,2026-01-05T12:04:00+00:00,INR,CUS_30280,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000019,"{'amount': '66807.00', 'captured_at': '2026-01-05T12:04:00+00:00'}",PAY_000019,card,REF_000019,payments.csv,payments:PAY_000019
15358.00,2026-01-05T12:05:00+00:00,INR,CUS_85248,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000020,"{'amount': '15358.00', 'captured_at': '2026-01-05T12:05:00+00:00'}",PAY_000020,upi,REF_000020,payments.csv,payments:PAY_000020
23947.00,2026-01-05T12:11:00+00:00,INR,CUS_50499,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000021,"{'amount': '23947.00', 'captured_at': '2026-01-05T12:11:00+00:00'}",PAY_000021,upi,REF_000021,payments.csv,payments:PAY_000021
52831.00,2026-01-05T12:10:00+00:00,INR,CUS_28595,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000022,"{'amount': '52831.00', 'captured_at': '2026-01-05T12:10:00+00:00'}",PAY_000022,upi,REF_000022,payments.csv,payments:PAY_000022
59760.00,2026-01-05T12:23:00+00:00,INR,CUS_30631,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000023,"{'amount': '59760.00', 'captured_at': '2026-01-05T12:23:00+00:00'}",PAY_000023,netbanking,REF_000023,payments.csv,payments:PAY_000023
20692.00,2026-01-05T12:21:00+00:00,INR,CUS_90981,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000024,"{'amount': '20692.00', 'captured_at': '2026-01-05T12:21:00+00:00'}",PAY_000024,netbanking,REF_000024,payments.csv,payments:PAY_000024
55876.25,2026-01-05T12:42:00+00:00,INR,CUS_89570,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000025,"{'amount': '55876.25', 'captured_at': '2026-01-05T12:42:00+00:00'}",PAY_000025,netbanking,REF_000025,payments.csv,payments:PAY_000025
15218.00,2026-01-05T12:42:00+00:00,INR,CUS_66349,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000026,"{'amount': '15218.00', 'captured_at': '2026-01-05T12:42:00+00:00'}",PAY_000026,wallet,REF_000026,payments.csv,payments:PAY_000026
29203.25,2026-01-05T12:40:00+00:00,INR,CUS_88554,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000027,"{'amount': '29203.25', 'captured_at': '2026-01-05T12:40:00+00:00'}",PAY_000027,card,REF_000027,payments.csv,payments:PAY_000027
18287.00,2026-01-05T12:52:00+00:00,INR,CUS_47938,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000028,"{'amount': '18287.00', 'captured_at': '2026-01-05T12:52:00+00:00'}",PAY_000028,upi,REF_000028,payments.csv,payments:PAY_000028
56746.00,2026-01-05T13:14:00+00:00,INR,CUS_26932,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000029,"{'amount': '56746.00', 'captured_at': '2026-01-05T13:14:00+00:00'}",PAY_000029,card,REF_000029,payments.csv,payments:PAY_000029
5844.25,2026-01-05T13:06:00+00:00,INR,CUS_12456,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000030,"{'amount': '5844.25', 'captured_at': '2026-01-05T13:06:00+00:00'}",PAY_000030,netbanking,REF_000030,payments.csv,payments:PAY_000030
53308.75,2026-01-05T13:20:00+00:00,INR,CUS_93904,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000031,"{'amount': '53308.75', 'captured_at': '2026-01-05T13:20:00+00:00'}",PAY_000031,upi,REF_000031,payments.csv,payments:PAY_000031
81318.25,2026-01-05T13:28:00+00:00,INR,CUS_57428,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000032,"{'amount': '81318.25', 'captured_at': '2026-01-05T13:28:00+00:00'}",PAY_000032,upi,REF_000032,payments.csv,payments:PAY_000032
10608.25,2026-01-05T13:37:00+00:00,INR,CUS_50668,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000033,"{'amount': '10608.25', 'captured_at': '2026-01-05T13:37:00+00:00'}",PAY_000033,card,REF_000033,payments.csv,payments:PAY_000033
10311.50,2026-01-05T13:45:00+00:00,INR,CUS_92998,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000034,"{'amount': '10311.50', 'captured_at': '2026-01-05T13:45:00+00:00'}",PAY_000034,card,REF_000034,payments.csv,payments:PAY_000034
19658.00,2026-01-05T13:45:00+00:00,INR,CUS_23474,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000035,"{'amount': '19658.00', 'captured_at': '2026-01-05T13:45:00+00:00'}",PAY_000035,card,REF_000035,payments.csv,payments:PAY_000035
20336.75,2026-01-05T13:59:00+00:00,INR,CUS_19876,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000036,"{'amount': '20336.75', 'captured_at': '2026-01-05T13:59:00+00:00'}",PAY_000036,wallet,REF_000036,payments.csv,payments:PAY_000036
74289.75,2026-01-05T14:04:00+00:00,INR,CUS_93269,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000037,"{'amount': '74289.75', 'captured_at': '2026-01-05T14:04:00+00:00'}",PAY_000037,netbanking,REF_000037,payments.csv,payments:PAY_000037
83056.00,2026-01-05T14:02:00+00:00,INR,CUS_46002,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000038,"{'amount': '83056.00', 'captured_at': '2026-01-05T14:02:00+00:00'}",PAY_000038,netbanking,REF_000038,payments.csv,payments:PAY_000038
60821.25,2026-01-05T14:15:00+00:00,INR,CUS_14929,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000039,"{'amount': '60821.25', 'captured_at': '2026-01-05T14:15:00+00:00'}",PAY_000039,netbanking,REF_000039,payments.csv,payments:PAY_000039
12135.50,2026-01-05T14:27:00+00:00,INR,CUS_87867,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000040,"{'amount': '12135.50', 'captured_at': '2026-01-05T14:27:00+00:00'}",PAY_000040,wallet,REF_000040,payments.csv,payments:PAY_000040
75228.75,2026-01-05T14:35:00+00:00,INR,CUS_34672,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000041,"{'amount': '75228.75', 'captured_at': '2026-01-05T14:35:00+00:00'}",PAY_000041,card,REF_000041,payments.csv,payments:PAY_000041
11353.50,2026-01-05T14:27:00+00:00,INR,CUS_94689,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000042,"{'amount': '11353.50', 'captured_at': '2026-01-05T14:27:00+00:00'}",PAY_000042,card,REF_000042,payments.csv,payments:PAY_000042
68990.50,2026-01-05T14:44:00+00:00,INR,CUS_89928,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000043,"{'amount': '68990.50', 'captured_at': '2026-01-05T14:44:00+00:00'}",PAY_000043,netbanking,REF_000043,payments.csv,payments:PAY_000043
53878.00,2026-01-05T14:44:00+00:00,INR,CUS_98984,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000044,"{'amount': '53878.00', 'captured_at': '2026-01-05T14:44:00+00:00'}",PAY_000044,netbanking,REF_000044,payments.csv,payments:PAY_000044
12687.50,2026-01-05T14:58:00+00:00,INR,CUS_98916,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000045,"{'amount': '12687.50', 'captured_at': '2026-01-05T14:58:00+00:00'}",PAY_000045,netbanking,REF_000045,payments.csv,payments:PAY_000045
10982.50,2026-01-05T15:05:00+00:00,INR,CUS_96980,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000046,"{'amount': '10982.50', 'captured_at': '2026-01-05T15:05:00+00:00'}",PAY_000046,netbanking,REF_000046,payments.csv,payments:PAY_000046
78293.75,2026-01-05T15:19:00+00:00,INR,CUS_21104,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000047,"{'amount': '78293.75', 'captured_at': '2026-01-05T15:19:00+00:00'}",PAY_000047,wallet,REF_000047,payments.csv,payments:PAY_000047
88133.75,2026-01-05T15:13:00+00:00,INR,CUS_99838,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000048,"{'amount': '88133.75', 'captured_at': '2026-01-05T15:13:00+00:00'}",PAY_000048,wallet,REF_000048,payments.csv,payments:PAY_000048
47826.00,2026-01-05T15:25:00+00:00,INR,CUS_33627,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000049,"{'amount': '47826.00', 'captured_at': '2026-01-05T15:25:00+00:00'}",PAY_000049,wallet,REF_000049,payments.csv,payments:PAY_000049
18330.00,2026-01-05T15:26:00+00:00,INR,CUS_20114,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000050,"{'amount': '18330.00', 'captured_at': '2026-01-05T15:26:00+00:00'}",PAY_000050,upi,REF_000050,payments.csv,payments:PAY_000050
17476.50,2026-01-05T15:34:00+00:00,INR,CUS_59377,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000051,"{'amount': '17476.50', 'captured_at': '2026-01-05T15:34:00+00:00'}",PAY_000051,card,REF_000051,payments.csv,payments:PAY_000051
57666.00,2026-01-05T15:44:00+00:00,INR,CUS_63852,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000052,"{'amount': '57666.00', 'captured_at': '2026-01-05T15:44:00+00:00'}",PAY_000052,wallet,REF_000052,payments.csv,payments:PAY_000052
59141.00,2026-01-05T15:52:00+00:00,INR,CUS_79993,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000053,"{'amount': '59141.00', 'captured_at': '2026-01-05T15:52:00+00:00'}",PAY_000053,wallet,REF_000053,payments.csv,payments:PAY_000053
59141.00,2026-01-05T15:54:00+00:00,INR,CUS_79993,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000053,"{'amount': '59141.00', 'captured_at': '2026-01-05T15:54:00+00:00'}",PAY_000054,wallet,REF_000053,payments.csv,payments:PAY_000054
50352.50,2026-01-05T16:04:00+00:00,INR,CUS_79135,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000055,"{'amount': '50352.50', 'captured_at': '2026-01-05T16:04:00+00:00'}",PAY_000055,card,REF_000055,payments.csv,payments:PAY_000055
7139.75,2026-01-05T16:22:00+00:00,INR,CUS_72991,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000056,"{'amount': '7139.75', 'captured_at': '2026-01-05T16:22:00+00:00'}",PAY_000056,upi,REF_000056,payments.csv,payments:PAY_000056
11293.00,2026-01-05T16:29:00+00:00,INR,CUS_45755,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000057,"{'amount': '11293.00', 'captured_at': '2026-01-05T16:29:00+00:00'}",PAY_000057,card,REF_000057,payments.csv,payments:PAY_000057
29402.25,2026-01-05T16:30:00+00:00,INR,CUS_55820,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000058,"{'amount': '29402.25', 'captured_at': '2026-01-05T16:30:00+00:00'}",PAY_000058,upi,REF_000058,payments.csv,payments:PAY_000058
10996.00,2026-01-05T16:34:00+00:00,INR,CUS_39430,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000059,"{'amount': '10996.00', 'captured_at': '2026-01-05T16:34:00+00:00'}",PAY_000059,upi,REF_000059,payments.csv,payments:PAY_000059
18335.00,2026-01-05T16:38:00+00:00,INR,CUS_47601,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000060,"{'amount': '18335.00', 'captured_at': '2026-01-05T16:38:00+00:00'}",PAY_000060,wallet,REF_000060,payments.csv,payments:PAY_000060
988.00,2026-01-05T16:46:00+00:00,INR,CUS_12490,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000061,"{'amount': '988.00', 'captured_at': '2026-01-05T16:46:00+00:00'}",PAY_000061,card,REF_000061,payments.csv,payments:PAY_000061
31447.00,2026-01-05T16:52:00+00:00,INR,CUS_25970,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000062,"{'amount': '31447.00', 'captured_at': '2026-01-05T16:52:00+00:00'}",PAY_000062,wallet,REF_000062,payments.csv,payments:PAY_000062
14830.25,2026-01-05T16:56:00+00:00,INR,CUS_88215,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000063,"{'amount': '14830.25', 'captured_at': '2026-01-05T16:56:00+00:00'}",PAY_000063,card,REF_000063,payments.csv,payments:PAY_000063
56561.00,2026-01-05T17:08:00+00:00,INR,CUS_90584,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000064,"{'amount': '56561.00', 'captured_at': '2026-01-05T17:08:00+00:00'}",PAY_000064,wallet,REF_000064,payments.csv,payments:PAY_000064
47565.00,2026-01-05T17:26:00+00:00,INR,CUS_78951,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000065,"{'amount': '47565.00', 'captured_at': '2026-01-05T17:26:00+00:00'}",PAY_000065,upi,REF_000065,payments.csv,payments:PAY_000065
51009.00,2026-01-05T17:18:00+00:00,INR,CUS_43246,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000066,"{'amount': '51009.00', 'captured_at': '2026-01-05T17:18:00+00:00'}",PAY_000066,netbanking,REF_000066,payments.csv,payments:PAY_000066
86427.75,2026-01-05T17:34:00+00:00,INR,CUS_23587,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000067,"{'amount': '86427.75', 'captured_at': '2026-01-05T17:34:00+00:00'}",PAY_000067,card,REF_000067,payments.csv,payments:PAY_000067
71867.00,2026-01-05T17:42:00+00:00,INR,CUS_94252,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000068,"{'amount': '71867.00', 'captured_at': '2026-01-05T17:42:00+00:00'}",PAY_000068,wallet,REF_000068,payments.csv,payments:PAY_000068
8570.75,2026-01-05T17:43:00+00:00,INR,CUS_69988,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000069,"{'amount': '8570.75', 'captured_at': '2026-01-05T17:43:00+00:00'}",PAY_000069,card,REF_000069,payments.csv,payments:PAY_000069
5792.00,2026-01-05T17:57:00+00:00,INR,CUS_50642,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000070,"{'amount': '5792.00', 'captured_at': '2026-01-05T17:57:00+00:00'}",PAY_000070,wallet,REF_000070,payments.csv,payments:PAY_000070
85090.00,2026-01-05T17:51:00+00:00,INR,CUS_47501,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000071,"{'amount': '85090.00', 'captured_at': '2026-01-05T17:51:00+00:00'}",PAY_000071,netbanking,REF_000071,payments.csv,payments:PAY_000071
48537.25,2026-01-05T18:14:00+00:00,INR,CUS_62431,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000072,"{'amount': '48537.25', 'captured_at': '2026-01-05T18:14:00+00:00'}",PAY_000072,wallet,REF_000072,payments.csv,payments:PAY_000072
65338.75,2026-01-05T18:20:00+00:00,INR,CUS_75211,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000073,"{'amount': '65338.75', 'captured_at': '2026-01-05T18:20:00+00:00'}",PAY_000073,netbanking,REF_000073,payments.csv,payments:PAY_000073
55940.00,2026-01-05T18:18:00+00:00,INR,CUS_66440,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000074,"{'amount': '55940.00', 'captured_at': '2026-01-05T18:18:00+00:00'}",PAY_000074,netbanking,REF_000074,payments.csv,payments:PAY_000074
10794.00,2026-01-05T18:27:00+00:00,INR,CUS_96628,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000075,"{'amount': '10794.00', 'captured_at': '2026-01-05T18:27:00+00:00'}",PAY_000075,wallet,REF_000075,payments.csv,payments:PAY_000075
58483.00,2026-01-05T18:34:00+00:00,INR,CUS_68606,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000076,"{'amount': '58483.00', 'captured_at': '2026-01-05T18:34:00+00:00'}",PAY_000076,wallet,REF_000076,payments.csv,payments:PAY_000076
58483.00,2026-01-05T18:24:00+00:00,INR,CUS_68606,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000076,"{'amount': '58483.00', 'captured_at': '2026-01-05T18:24:00+00:00'}",PAY_000077,upi,REF_000076,payments.csv,payments:PAY_000077
67551.75,2026-01-05T18:38:00+00:00,INR,CUS_99051,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000078,"{'amount': '67551.75', 'captured_at': '2026-01-05T18:38:00+00:00'}",PAY_000078,card,REF_000078,payments.csv,payments:PAY_000078
16845.00,2026-01-05T19:00:00+00:00,INR,CUS_40932,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000079,"{'amount': '16845.00', 'captured_at': '2026-01-05T19:00:00+00:00'}",PAY_000079,netbanking,REF_000079,payments.csv,payments:PAY_000079
4544.50,2026-01-05T19:10:00+00:00,INR,CUS_30111,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000080,"{'amount': '4544.50', 'captured_at': '2026-01-05T19:10:00+00:00'}",PAY_000080,netbanking,REF_000080,payments.csv,payments:PAY_000080
10377.50,2026-01-05T19:13:00+00:00,INR,CUS_28047,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000081,"{'amount': '10377.50', 'captured_at': '2026-01-05T19:13:00+00:00'}",PAY_000081,wallet,REF_000081,payments.csv,payments:PAY_000081
36828.00,2026-01-05T19:10:00+00:00,INR,CUS_24869,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000082,"{'amount': '36828.00', 'captured_at': '2026-01-05T19:10:00+00:00'}",PAY_000082,wallet,REF_000082,payments.csv,payments:PAY_000082
15735.00,2026-01-05T19:31:00+00:00,INR,CUS_44116,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000083,"{'amount': '15735.00', 'captured_at': '2026-01-05T19:31:00+00:00'}",PAY_000083,card,REF_000083,payments.csv,payments:PAY_000083
64682.00,2026-01-05T19:22:00+00:00,INR,CUS_26074,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000084,"{'amount': '64682.00', 'captured_at': '2026-01-05T19:22:00+00:00'}",PAY_000084,wallet,REF_000084,payments.csv,payments:PAY_000084
58641.00,2026-01-05T19:39:00+00:00,INR,CUS_99381,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000085,"{'amount': '58641.00', 'captured_at': '2026-01-05T19:39:00+00:00'}",PAY_000085,upi,REF_000085,payments.csv,payments:PAY_000085
20944.75,2026-01-05T19:45:00+00:00,INR,CUS_93584,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000086,"{'amount': '20944.75', 'captured_at': '2026-01-05T19:45:00+00:00'}",PAY_000086,card,REF_000086,payments.csv,payments:PAY_000086
18502.00,2026-01-05T19:51:00+00:00,INR,CUS_74752,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000087,"{'amount': '18502.00', 'captured_at': '2026-01-05T19:51:00+00:00'}",PAY_000087,netbanking,REF_000087,payments.csv,payments:PAY_000087
17309.50,2026-01-05T19:56:00+00:00,INR,CUS_21300,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000088,"{'amount': '17309.50', 'captured_at': '2026-01-05T19:56:00+00:00'}",PAY_000088,wallet,REF_000088,payments.csv,payments:PAY_000088
54143.25,2026-01-05T19:58:00+00:00,INR,CUS_85353,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000089,"{'amount': '54143.25', 'captured_at': '2026-01-05T19:58:00+00:00'}",PAY_000089,netbanking,REF_000089,payments.csv,payments:PAY_000089
61357.75,2026-01-05T20:07:00+00:00,INR,CUS_77811,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000090,"{'amount': '61357.75', 'captured_at': '2026-01-05T20:07:00+00:00'}",PAY_000090,card,REF_000090,payments.csv,payments:PAY_000090
66211.00,2026-01-05T20:16:00+00:00,INR,CUS_26274,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000091,"{'amount': '66211.00', 'captured_at': '2026-01-05T20:16:00+00:00'}",PAY_000091,netbanking,REF_000091,payments.csv,payments:PAY_000091
42591.75,2026-01-05T20:33:00+00:00,INR,CUS_39552,2026-01-05T09:30:00+00:00,MCH_SWIFT,ORD_000092,"{'amount': '42591.75', 'captured_at': '2026-01-05T20:33:00+00:00'}",PAY_000092,netbanking,REF_000092,payments.csv,payments:PAY_000092
26029.75,2026-01-05T20:28:00+00:00,INR,CUS_82199,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000093,"{'amount': '26029.75', 'captured_at': '2026-01-05T20:28:00+00:00'}",PAY_000093,netbanking,REF_000093,payments.csv,payments:PAY_000093
76406.00,2026-01-05T20:44:00+00:00,INR,CUS_32439,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000094,"{'amount': '76406.00', 'captured_at': '2026-01-05T20:44:00+00:00'}",PAY_000094,upi,REF_000094,payments.csv,payments:PAY_000094
6258.75,2026-01-05T20:44:00+00:00,INR,CUS_85598,2026-01-05T09:30:00+00:00,MCH_ZERO,ORD_000095,"{'amount': '6258.75', 'captured_at': '2026-01-05T20:44:00+00:00'}",PAY_000095,wallet,REF_000095,payments.csv,payments:PAY_000095
82503.50,2026-01-05T20:57:00+00:00,INR,CUS_47967,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000096,"{'amount': '82503.50', 'captured_at': '2026-01-05T20:57:00+00:00'}",PAY_000096,wallet,REF_000096,payments.csv,payments:PAY_000096
53527.00,2026-01-05T20:51:00+00:00,INR,CUS_69446,2026-01-05T09:30:00+00:00,MCH_TRAVEL,ORD_000097,"{'amount': '53527.00', 'captured_at': '2026-01-05T20:51:00+00:00'}",PAY_000097,card,REF_000097,payments.csv,payments:PAY_000097
27041.00,2026-01-05T21:08:00+00:00,INR,CUS_89516,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000098,"{'amount': '27041.00', 'captured_at': '2026-01-05T21:08:00+00:00'}",PAY_000098,netbanking,REF_000098,payments.csv,payments:PAY_000098
17439.00,2026-01-05T21:11:00+00:00,INR,CUS_77499,2026-01-05T09:30:00+00:00,MCH_SAAS,ORD_000099,"{'amount': '17439.00', 'captured_at': '2026-01-05T21:11:00+00:00'}",PAY_000099,netbanking,REF_000099,payments.csv,payments:PAY_000099
59229.00,2026-01-05T21:12:00+00:00,INR,CUS_28465,2026-01-05T09:30:00+00:00,MCH_CAFE,ORD_000100,"{'amount': '59229.00', 'captured_at': '2026-01-05T21:12:00+00:00'}",PAY_000100,netbanking,REF_000100,payments.csv,payments:PAY_000100
55105.00,2026-01-05T21:30:00+00:00,INR,CUS_30932,2026-01-05T09:30:00+00:00,MCH_HEALTH,ORD_000101,"{'amount': '55105.00', 'captured_at': '2026-01-05T21:30:00+00:00'}",PAY_000101,card,REF_000101,payments.csv,payments:PAY_000101
