amount,batch_id,currency,ingested_at,merchant_id,original,payment_id,settled_at,settlement_id,source,source_record_id
72426.33,BATCH_20260107,INR,2026-01-07T17:38:00+00:00,MCH_HEALTH,"{'amount': '72426.33', 'settled_at': '2026-01-07T17:38:00+00:00'}",PAY_000017,2026-01-07T17:38:00+00:00,SET_000017,settlements.csv,settlements:SET_000017
54670.77,BATCH_20260108,INR,2026-01-08T13:48:00+00:00,MCH_TRAVEL,"{'amount': '54670.77', 'settled_at': '2026-01-08T13:48:00+00:00'}",PAY_000018,2026-01-08T13:48:00+00:00,SET_000018,settlements.csv,settlements:SET_000018
65279.59,BATCH_20260107,INR,2026-01-07T14:04:00+00:00,MCH_HEALTH,"{'amount': '65279.59', 'settled_at': '2026-01-07T14:04:00+00:00'}",PAY_000019,2026-01-07T14:04:00+00:00,SET_000019,settlements.csv,settlements:SET_000019
15018.12,BATCH_20260107,INR,2026-01-07T17:05:00+00:00,MCH_CAFE,"{'amount': '15018.12', 'settled_at': '2026-01-07T17:05:00+00:00'}",PAY_000020,2026-01-07T17:05:00+00:00,SET_000020,settlements.csv,settlements:SET_000020
24137.57,BATCH_20260106,INR,2026-01-06T15:11:00+00:00,MCH_ZERO,"{'amount': '24137.57', 'settled_at': '2026-01-06T15:11:00+00:00'}",PAY_000021,2026-01-06T15:11:00+00:00,SET_000021,settlements.csv,settlements:SET_000021
33010.13,BATCH_20260108,INR,2026-01-08T19:10:00+00:00,MCH_TRAVEL,"{'amount': '33010.13', 'settled_at': '2026-01-08T19:10:00+00:00'}",PAY_000022,2026-01-08T19:10:00+00:00,SET_000022,settlements.csv,settlements:SET_000022
58261.00,BATCH_20260108,INR,2026-01-08T14:23:00+00:00,MCH_SAAS,"{'amount': '58261.00', 'settled_at': '2026-01-08T14:23:00+00:00'}",PAY_000023,2026-01-08T14:23:00+00:00,SET_000023,settlements.csv,settlements:SET_000023
20692.00,BATCH_20260106,INR,2026-01-06T20:21:00+00:00,MCH_ZERO,"{'amount': '20692.00', 'settled_at': '2026-01-06T20:21:00+00:00'}",PAY_000024,2026-01-06T20:21:00+00:00,SET_000024,settlements.csv,settlements:SET_000024
54808.60,BATCH_20260117,INR,2026-01-17T12:42:00+00:00,MCH_TRAVEL,"{'amount': '54808.60', 'settled_at': '2026-01-17T12:42:00+00:00'}",PAY_000025,2026-01-17T12:42:00+00:00,SET_000025,settlements.csv,settlements:SET_000025
14909.64,BATCH_20260107,INR,2026-01-07T17:42:00+00:00,MCH_HEALTH,"{'amount': '14909.64', 'settled_at': '2026-01-07T17:42:00+00:00'}",PAY_000026,2026-01-07T17:42:00+00:00,SET_000026,settlements.csv,settlements:SET_000026
29203.25,BATCH_20260106,INR,2026-01-06T17:40:00+00:00,MCH_ZERO,"{'amount': '29203.25', 'settled_at': '2026-01-06T17:40:00+00:00'}",PAY_000027,2026-01-06T17:40:00+00:00,SET_000027,settlements.csv,settlements:SET_000027
17954.83,BATCH_20260107,INR,2026-01-07T20:52:00+00:00,MCH_SWIFT,"{'amount': '17954.83', 'settled_at': '2026-01-07T20:52:00+00:00'}",PAY_000028,2026-01-07T20:52:00+00:00,SET_000028,settlements.csv,settlements:SET_000028
55739.42,BATCH_20260108,INR,2026-01-08T19:14:00+00:00,MCH_TRAVEL,"{'amount': '55739.42', 'settled_at': '2026-01-08T19:14:00+00:00'}",PAY_000029,2026-01-08T19:14:00+00:00,SET_000029,settlements.csv,settlements:SET_000029
5727.21,BATCH_20260108,INR,2026-01-08T20:06:00+00:00,MCH_TRAVEL,"{'amount': '5727.21', 'settled_at': '2026-01-08T20:06:00+00:00'}",PAY_000030,2026-01-08T20:06:00+00:00,SET_000030,settlements.csv,settlements:SET_000030
52127.15,BATCH_20260107,INR,2026-01-07T20:20:00+00:00,MCH_HEALTH,"{'amount': '52127.15', 'settled_at': '2026-01-07T20:20:00+00:00'}",PAY_000031,2026-01-07T20:20:00+00:00,SET_000031,settlements.csv,settlements:SET_000031
66025.21,BATCH_20260107,INR,2026-01-07T20:28:00+00:00,MCH_SWIFT,"{'amount': '66025.21', 'settled_at': '2026-01-07T20:28:00+00:00'}",PAY_000032,2026-01-07T20:28:00+00:00,SET_000032,settlements.csv,settlements:SET_000032
10392.08,BATCH_20260107,INR,2026-01-07T19:37:00+00:00,MCH_HEALTH,"{'amount': '10392.08', 'settled_at': '2026-01-07T19:37:00+00:00'}",PAY_000033,2026-01-07T19:37:00+00:00,SET_000033,settlements.csv,settlements:SET_000033
5142.38,BATCH_20260107,INR,2026-01-07T19:45:00+00:00,MCH_SWIFT,"{'amount': '5142.38', 'settled_at': '2026-01-07T19:45:00+00:00'}",PAY_000034,2026-01-07T19:45:00+00:00,SET_000034,settlements.csv,settlements:SET_000034
19278.50,BATCH_20260108,INR,2026-01-08T16:45:00+00:00,MCH_TRAVEL,"{'amount': '19278.50', 'settled_at': '2026-01-08T16:45:00+00:00'}",PAY_000035,2026-01-08T16:45:00+00:00,SET_000035,settlements.csv,settlements:SET_000035
19926.01,BATCH_20260107,INR,2026-01-07T21:59:00+00:00,MCH_HEALTH,"{'amount': '19926.01', 'settled_at': '2026-01-07T21:59:00+00:00'}",PAY_000036,2026-01-07T21:59:00+00:00,SET_000036,settlements.csv,settlements:SET_000036
72713.59,BATCH_20260108,INR,2026-01-08T17:04:00+00:00,MCH_TRAVEL,"{'amount': '72713.59', 'settled_at': '2026-01-08T17:04:00+00:00'}",PAY_000037,2026-01-08T17:04:00+00:00,SET_000037,settlements.csv,settlements:SET_000037
80974.60,BATCH_20260108,INR,2026-01-08T16:02:00+00:00,MCH_SAAS,"{'amount': '80974.60', 'settled_at': '2026-01-08T16:02:00+00:00'}",PAY_000038,2026-01-08T16:02:00+00:00,SET_000038,settlements.csv,settlements:SET_000038
11898.93,BATCH_20260108,INR,2026-01-08T15:27:00+00:00,MCH_TRAVEL,"{'amount': '11898.93', 'settled_at': '2026-01-08T15:27:00+00:00'}",PAY_000040,2026-01-08T15:27:00+00:00,SET_000040,settlements.csv,settlements:SET_000040
40666.88,BATCH_20260108,INR,2026-01-08T16:35:00+00:00,MCH_SAAS,"{'amount': '40666.88', 'settled_at': '2026-01-08T16:35:00+00:00'}",PAY_000041,2026-01-08T16:35:00+00:00,SET_000041,settlements.csv,settlements:SET_000041
11101.72,BATCH_20260107,INR,2026-01-07T22:27:00+00:00,MCH_CAFE,"{'amount': '11101.72', 'settled_at': '2026-01-07T22:27:00+00:00'}",PAY_000042,2026-01-07T22:27:00+00:00,SET_000042,settlements.csv,settlements:SET_000042
67260.74,BATCH_20260108,INR,2026-01-08T19:44:00+00:00,MCH_SAAS,"{'amount': '67260.74', 'settled_at': '2026-01-08T19:44:00+00:00'}",PAY_000043,2026-01-08T19:44:00+00:00,SET_000043,settlements.csv,settlements:SET_000043
52526.05,BATCH_20260108,INR,2026-01-08T16:44:00+00:00,MCH_SAAS,"{'amount': '52526.05', 'settled_at': '2026-01-08T16:44:00+00:00'}",PAY_000044,2026-01-08T16:44:00+00:00,SET_000044,settlements.csv,settlements:SET_000044
12406.37,BATCH_20260107,INR,2026-01-07T17:58:00+00:00,MCH_CAFE,"{'amount': '12406.37', 'settled_at': '2026-01-07T17:58:00+00:00'}",PAY_000045,2026-01-07T17:58:00+00:00,SET_000045,settlements.csv,settlements:SET_000045
10738.88,BATCH_20260107,INR,2026-01-07T22:05:00+00:00,MCH_CAFE,"{'amount': '10738.88', 'settled_at': '2026-01-07T22:05:00+00:00'}",PAY_000046,2026-01-07T22:05:00+00:00,SET_000046,settlements.csv,settlements:SET_000046
76881.46,BATCH_20260107,INR,2026-01-07T21:19:00+00:00,MCH_SWIFT,"{'amount': '76881.46', 'settled_at': '2026-01-07T21:19:00+00:00'}",PAY_000047,2026-01-07T21:19:00+00:00,SET_000047,settlements.csv,settlements:SET_000047
86544.34,BATCH_20260107,INR,2026-01-07T21:13:00+00:00,MCH_SWIFT,"{'amount': '86544.34', 'settled_at': '2026-01-07T21:13:00+00:00'}",PAY_000048,2026-01-07T21:13:00+00:00,SET_000048,settlements.csv,settlements:SET_000048
47826.00,BATCH_20260106,INR,2026-01-06T19:25:00+00:00,MCH_ZERO,"{'amount': '47826.00', 'settled_at': '2026-01-06T19:25:00+00:00'}",PAY_000049,2026-01-06T19:25:00+00:00,SET_000049,settlements.csv,settlements:SET_000049
17997.06,BATCH_20260107,INR,2026-01-07T21:26:00+00:00,MCH_SWIFT,"{'amount': '17997.06', 'settled_at': '2026-01-07T21:26:00+00:00'}",PAY_000050,2026-01-07T21:26:00+00:00,SET_000050,settlements.csv,settlements:SET_000050
17122.97,BATCH_20260107,INR,2026-01-07T18:34:00+00:00,MCH_HEALTH,"{'amount': '17122.97', 'settled_at': '2026-01-07T18:34:00+00:00'}",PAY_000051,2026-01-07T18:34:00+00:00,SET_000051,settlements.csv,settlements:SET_000051
56564.35,BATCH_20260108,INR,2026-01-08T20:44:00+00:00,MCH_TRAVEL,"{'amount': '56564.35', 'settled_at': '2026-01-08T20:44:00+00:00'}",PAY_000052,2026-01-08T20:44:00+00:00,SET_000052,settlements.csv,settlements:SET_000052
58011.32,BATCH_20260108,INR,2026-01-08T19:52:00+00:00,MCH_TRAVEL,"{'amount': '58011.32', 'settled_at': '2026-01-08T19:52:00+00:00'}",PAY_000053,2026-01-08T19:52:00+00:00,SET_000053,settlements.csv,settlements:SET_000053
49242.74,BATCH_20260107,INR,2026-01-07T19:04:00+00:00,MCH_CAFE,"{'amount': '49242.74', 'settled_at': '2026-01-07T19:04:00+00:00'}",PAY_000055,2026-01-07T19:04:00+00:00,SET_000055,settlements.csv,settlements:SET_000055
6980.68,BATCH_20260107,INR,2026-01-07T18:22:00+00:00,MCH_CAFE,"{'amount': '6980.68', 'settled_at': '2026-01-07T18:22:00+00:00'}",PAY_000056,2026-01-07T18:22:00+00:00,SET_000056,settlements.csv,settlements:SET_000056
11042.55,BATCH_20260107,INR,2026-01-07T23:29:00+00:00,MCH_CAFE,"{'amount': '11042.55', 'settled_at': '2026-01-07T23:29:00+00:00'}",PAY_000057,2026-01-07T23:29:00+00:00,SET_000057,settlements.csv,settlements:SET_000057
22737.11,BATCH_20260106,INR,2026-01-06T20:30:00+00:00,MCH_ZERO,"{'amount': '22737.11', 'settled_at': '2026-01-06T20:30:00+00:00'}",PAY_000058,2026-01-06T20:30:00+00:00,SET_000058,settlements.csv,settlements:SET_000058
10716.10,BATCH_20260108,INR,2026-01-08T22:34:00+00:00,MCH_SAAS,"{'amount': '10716.10', 'settled_at': '2026-01-08T22:34:00+00:00'}",PAY_000059,2026-01-08T22:34:00+00:00,SET_000059,settlements.csv,settlements:SET_000059
18001.97,BATCH_20260108,INR,2026-01-08T00:38:00+00:00,MCH_SWIFT,"{'amount': '18001.97', 'settled_at': '2026-01-08T00:38:00+00:00'}",PAY_000060,2026-01-08T00:38:00+00:00,SET_000060,settlements.csv,settlements:SET_000060
385.73,BATCH_20260107,INR,2026-01-07T23:46:00+00:00,MCH_HEALTH,"{'amount': '385.73', 'settled_at': '2026-01-07T23:46:00+00:00'}",PAY_000061,2026-01-07T23:46:00+00:00,SET_000061,settlements.csv,settlements:SET_000061
30753.17,BATCH_20260108,INR,2026-01-08T00:52:00+00:00,MCH_CAFE,"{'amount': '30753.17', 'settled_at': '2026-01-08T00:52:00+00:00'}",PAY_000062,2026-01-08T00:52:00+00:00,SET_000062,settlements.csv,settlements:SET_000062
14830.25,BATCH_20260106,INR,2026-01-06T19:56:00+00:00,MCH_ZERO,"{'amount': '14830.25', 'settled_at': '2026-01-06T19:56:00+00:00'}",PAY_000063,2026-01-06T19:56:00+00:00,SET_000063,settlements.csv,settlements:SET_000063
46869.75,BATCH_20260107,INR,2026-01-07T19:08:00+00:00,MCH_CAFE,"{'amount': '46869.75', 'settled_at': '2026-01-07T19:08:00+00:00'}",PAY_000064,2026-01-07T19:08:00+00:00,SET_000064,settlements.csv,settlements:SET_000064
46599.14,BATCH_20260108,INR,2026-01-08T00:26:00+00:00,MCH_HEALTH,"{'amount': '46599.14', 'settled_at': '2026-01-08T00:26:00+00:00'}",PAY_000065,2026-01-08T00:26:00+00:00,SET_000065,settlements.csv,settlements:SET_000065
31071.11,BATCH_20260108,INR,2026-01-08T21:18:00+00:00,MCH_TRAVEL,"{'amount': '31071.11', 'settled_at': '2026-01-08T21:18:00+00:00'}",PAY_000066,2026-01-08T21:18:00+00:00,SET_000066,settlements.csv,settlements:SET_000066
84779.62,BATCH_20260108,INR,2026-01-08T18:34:00+00:00,MCH_TRAVEL,"{'amount': '84779.62', 'settled_at': '2026-01-08T18:34:00+00:00'}",PAY_000067,2026-01-08T18:34:00+00:00,SET_000067,settlements.csv,settlements:SET_000067
70283.93,BATCH_20260107,INR,2026-01-07T20:42:00+00:00,MCH_CAFE,"{'amount': '70283.93', 'settled_at': '2026-01-07T20:42:00+00:00'}",PAY_000068,2026-01-07T20:42:00+00:00,SET_000068,settlements.csv,settlements:SET_000068
8413.48,BATCH_20260107,INR,2026-01-07T18:43:00+00:00,MCH_SWIFT,"{'amount': '8413.48', 'settled_at': '2026-01-07T18:43:00+00:00'}",PAY_000069,2026-01-07T18:43:00+00:00,SET_000069,settlements.csv,settlements:SET_000069
5684.74,BATCH_20260107,INR,2026-01-07T22:57:00+00:00,MCH_SWIFT,"{'amount': '5684.74', 'settled_at': '2026-01-07T22:57:00+00:00'}",PAY_000070,2026-01-07T22:57:00+00:00,SET_000070,settlements.csv,settlements:SET_000070
85090.00,BATCH_20260106,INR,2026-01-06T22:51:00+00:00,MCH_ZERO,"{'amount': '85090.00', 'settled_at': '2026-01-06T22:51:00+00:00'}",PAY_000071,2026-01-06T22:51:00+00:00,SET_000071,settlements.csv,settlements:SET_000071
48537.25,BATCH_20260115,INR,2026-01-15T18:14:00+00:00,MCH_ZERO,"{'amount': '48537.25', 'settled_at': '2026-01-15T18:14:00+00:00'}",PAY_000072,2026-01-15T18:14:00+00:00,SET_000072,settlements.csv,settlements:SET_000072
54871.14,BATCH_20260109,INR,2026-01-09T00:18:00+00:00,MCH_TRAVEL,"{'amount': '54871.14', 'settled_at': '2026-01-09T00:18:00+00:00'}",PAY_000074,2026-01-09T00:18:00+00:00,SET_000074,settlements.csv,settlements:SET_000074
10794.00,BATCH_20260107,INR,2026-01-07T01:27:00+00:00,MCH_ZERO,"{'amount': '10794.00', 'settled_at': '2026-01-07T01:27:00+00:00'}",PAY_000075,2026-01-07T01:27:00+00:00,SET_000075,settlements.csv,settlements:SET_000075
57427.31,BATCH_20260107,INR,2026-01-07T23:34:00+00:00,MCH_SWIFT,"{'amount': '57427.31', 'settled_at': '2026-01-07T23:34:00+00:00'}",PAY_000076,2026-01-07T23:34:00+00:00,SET_000076,settlements.csv,settlements:SET_000076
66063.61,BATCH_20260108,INR,2026-01-08T02:38:00+00:00,MCH_CAFE,"{'amount': '66063.61', 'settled_at': '2026-01-08T02:38:00+00:00'}",PAY_000078,2026-01-08T02:38:00+00:00,SET_000078,settlements.csv,settlements:SET_000078
16845.00,BATCH_20260107,INR,2026-01-07T02:00:00+00:00,MCH_ZERO,"{'amount': '16845.00', 'settled_at': '2026-01-07T02:00:00+00:00'}",PAY_000079,2026-01-07T02:00:00+00:00,SET_000079,settlements.csv,settlements:SET_000079
4449.61,BATCH_20260108,INR,2026-01-08T01:10:00+00:00,MCH_HEALTH,"{'amount': '4449.61', 'settled_at': '2026-01-08T01:10:00+00:00'}",PAY_000080,2026-01-08T01:10:00+00:00,SET_000080,settlements.csv,settlements:SET_000080
10113.06,BATCH_20260109,INR,2026-01-09T01:13:00+00:00,MCH_SAAS,"{'amount': '10113.06', 'settled_at': '2026-01-09T01:13:00+00:00'}",PAY_000081,2026-01-09T01:13:00+00:00,SET_000081,settlements.csv,settlements:SET_000081
36122.27,BATCH_20260109,INR,2026-01-09T02:10:00+00:00,MCH_TRAVEL,"{'amount': '36122.27', 'settled_at': '2026-01-09T02:10:00+00:00'}",PAY_000082,2026-01-09T02:10:00+00:00,SET_000082,settlements.csv,settlements:SET_000082
15416.30,BATCH_20260108,INR,2026-01-08T00:31:00+00:00,MCH_HEALTH,"{'amount': '15416.30', 'settled_at': '2026-01-08T00:31:00+00:00'}",PAY_000083,2026-01-08T00:31:00+00:00,SET_000083,settlements.csv,settlements:SET_000083
57520.82,BATCH_20260109,INR,2026-01-09T00:39:00+00:00,MCH_TRAVEL,"{'amount': '57520.82', 'settled_at': '2026-01-09T00:39:00+00:00'}",PAY_000085,2026-01-09T00:39:00+00:00,SET_000085,settlements.csv,settlements:SET_000085
20481.97,BATCH_20260107,INR,2026-01-07T21:45:00+00:00,MCH_CAFE,"{'amount': '20481.97', 'settled_at': '2026-01-07T21:45:00+00:00'}",PAY_000086,2026-01-07T21:45:00+00:00,SET_000086,settlements.csv,settlements:SET_000086
12927.77,BATCH_20260108,INR,2026-01-08T03:51:00+00:00,MCH_SWIFT,"{'amount': '12927.77', 'settled_at': '2026-01-08T03:51:00+00:00'}",PAY_000087,2026-01-08T03:51:00+00:00,SET_000087,settlements.csv,settlements:SET_000087
16959.31,BATCH_20260108,INR,2026-01-08T03:56:00+00:00,MCH_HEALTH,"{'amount': '16959.31', 'settled_at': '2026-01-08T03:56:00+00:00'}",PAY_000088,2026-01-08T03:56:00+00:00,SET_000088,settlements.csv,settlements:SET_000088
53056.38,BATCH_20260107,INR,2026-01-07T21:58:00+00:00,MCH_HEALTH,"{'amount': '53056.38', 'settled_at': '2026-01-07T21:58:00+00:00'}",PAY_000089,2026-01-07T21:58:00+00:00,SET_000089,settlements.csv,settlements:SET_000089
59818.81,BATCH_20260108,INR,2026-01-08T23:07:00+00:00,MCH_SAAS,"{'amount': '59818.81', 'settled_at': '2026-01-08T23:07:00+00:00'}",PAY_000090,2026-01-08T23:07:00+00:00,SET_000090,settlements.csv,settlements:SET_000090
64550.72,BATCH_20260108,INR,2026-01-08T23:16:00+00:00,MCH_SAAS,"{'amount': '64550.72', 'settled_at': '2026-01-08T23:16:00+00:00'}",PAY_000091,2026-01-08T23:16:00+00:00,SET_000091,settlements.csv,settlements:SET_000091
41822.10,BATCH_20260107,INR,2026-01-07T22:33:00+00:00,MCH_SWIFT,"{'amount': '41822.10', 'settled_at': '2026-01-07T22:33:00+00:00'}",PAY_000092,2026-01-07T22:33:00+00:00,SET_000092,settlements.csv,settlements:SET_000092
25515.35,BATCH_20260107,INR,2026-01-07T22:28:00+00:00,MCH_CAFE,"{'amount': '25515.35', 'settled_at': '2026-01-07T22:28:00+00:00'}",PAY_000093,2026-01-07T22:28:00+00:00,SET_000093,settlements.csv,settlements:SET_000093
74873.88,BATCH_20260107,INR,2026-01-07T21:44:00+00:00,MCH_HEALTH,"{'amount': '74873.88', 'settled_at': '2026-01-07T21:44:00+00:00'}",PAY_000094,2026-01-07T21:44:00+00:00,SET_000094,settlements.csv,settlements:SET_000094
6258.75,BATCH_20260106,INR,2026-01-06T21:44:00+00:00,MCH_ZERO,"{'amount': '6258.75', 'settled_at': '2026-01-06T21:44:00+00:00'}",PAY_000095,2026-01-06T21:44:00+00:00,SET_000095,settlements.csv,settlements:SET_000095
80435.91,BATCH_20260109,INR,2026-01-09T00:57:00+00:00,MCH_SAAS,"{'amount': '80435.91', 'settled_at': '2026-01-09T00:57:00+00:00'}",PAY_000096,2026-01-09T00:57:00+00:00,SET_000096,settlements.csv,settlements:SET_000096
28196.21,BATCH_20260109,INR,2026-01-09T04:51:00+00:00,MCH_TRAVEL,"{'amount': '28196.21', 'settled_at': '2026-01-09T04:51:00+00:00'}",PAY_000097,2026-01-09T04:51:00+00:00,SET_000097,settlements.csv,settlements:SET_000097
26359.97,BATCH_20260109,INR,2026-01-09T03:08:00+00:00,MCH_SAAS,"{'amount': '26359.97', 'settled_at': '2026-01-09T03:08:00+00:00'}",PAY_000098,2026-01-09T03:08:00+00:00,SET_000098,settlements.csv,settlements:SET_000098
9517.41,BATCH_20260109,INR,2026-01-09T01:11:00+00:00,MCH_SAAS,"{'amount': '9517.41', 'settled_at': '2026-01-09T01:11:00+00:00'}",PAY_000099,2026-01-09T01:11:00+00:00,SET_000099,settlements.csv,settlements:SET_000099
53998.90,BATCH_20260108,INR,2026-01-08T00:30:00+00:00,MCH_HEALTH,"{'amount': '53998.90', 'settled_at': '2026-01-08T00:30:00+00:00'}",PAY_000101,2026-01-08T00:30:00+00:00,SET_000101,settlements.csv,settlements:SET_000101
58387.94,BATCH_20260109,INR,2026-01-09T05:42:00+00:00,MCH_SAAS,"{'amount': '58387.94', 'settled_at': '2026-01-09T05:42:00+00:00'}",PAY_000102,2026-01-09T05:42:00+00:00,SET_000102,settlements.csv,settlements:SET_000102
20484.98,BATCH_20260108,INR,2026-01-08T05:33:00+00:00,MCH_SWIFT,"{'amount': '20484.98', 'settled_at': '2026-01-08T05:33:00+00:00'}",PAY_000103,2026-01-08T05:33:00+00:00,SET_000103,settlements.csv,settlements:SET_000103
69088.81,BATCH_20260108,INR,2026-01-08T03:46:00+00:00,MCH_CAFE,"{'amount': '69088.81', 'settled_at': '2026-01-08T03:46:00+00:00'}",PAY_000104,2026-01-08T03:46:00+00:00,SET_000104,settlements.csv,settlements:SET_000104
47052.40,BATCH_20260109,INR,2026-01-09T04:03:00+00:00,MCH_SAAS,"{'amount': '47052.40', 'settled_at': '2026-01-09T04:03:00+00:00'}",PAY_000105,2026-01-09T04:03:00+00:00,SET_000105,settlements.csv,settlements:SET_000105
37360.46,BATCH_20260108,INR,2026-01-08T00:11:00+00:00,MCH_HEALTH,"{'amount': '37360.46', 'settled_at': '2026-01-08T00:11:00+00:00'}",PAY_000106,2026-01-08T00:11:00+00:00,SET_000106,settlements.csv,settlements:SET_000106
12735.75,BATCH_20260108,INR,2026-01-08T01:19:00+00:00,MCH_SWIFT,"{'amount': '12735.75', 'settled_at': '2026-01-08T01:19:00+00:00'}",PAY_000107,2026-01-08T01:19:00+00:00,SET_000107,settlements.csv,settlements:SET_000107
77836.70,BATCH_20260107,INR,2026-01-07T23:12:00+00:00,MCH_SWIFT,"{'amount': '77836.70', 'settled_at': '2026-01-07T23:12:00+00:00'}",PAY_000108,2026-01-07T23:12:00+00:00,SET_000108,settlements.csv,settlements:SET_000108
43158.11,BATCH_20260108,INR,2026-01-08T04:21:00+00:00,MCH_SWIFT,"{'amount': '43158.11', 'settled_at': '2026-01-08T04:21:00+00:00'}",PAY_000109,2026-01-08T04:21:00+00:00,SET_000109,settlements.csv,settlements:SET_000109
41205.00,BATCH_20260116,INR,2026-01-16T22:34:00+00:00,MCH_HEALTH,"{'amount': '41205.00', 'settled_at': '2026-01-16T22:34:00+00:00'}",PAY_000110,2026-01-16T22:34:00+00:00,SET_000110,settlements.csv,settlements:SET_000110
74881.82,BATCH_20260109,INR,2026-01-09T02:50:00+00:00,MCH_SAAS,"{'amount': '74881.82', 'settled_at': '2026-01-09T02:50:00+00:00'}",PAY_000112,2026-01-09T02:50:00+00:00,SET_000112,settlements.csv,settlements:SET_000112
6891.90,BATCH_20260109,INR,2026-01-09T01:59:00+00:00,MCH_TRAVEL,"{'amount': '6891.90', 'settled_at': '2026-01-09T01:59:00+00:00'}",PAY_000113,2026-01-09T01:59:00+00:00,SET_000113,settlements.csv,settlements:SET_000113
31430.14,BATCH_20260108,INR,2026-01-08T23:57:00+00:00,MCH_TRAVEL,"{'amount': '31430.14', 'settled_at': '2026-01-08T23:57:00+00:00'}",PAY_000114,2026-01-08T23:57:00+00:00,SET_000114,settlements.csv,settlements:SET_000114
18042.93,BATCH_20260109,INR,2026-01-09T06:24:00+00:00,MCH_TRAVEL,"{'amount': '18042.93', 'settled_at': '2026-01-09T06:24:00+00:00'}",PAY_000117,2026-01-09T06:24:00+00:00,SET_000117,settlements.csv,settlements:SET_000117
22491.27,BATCH_20260108,INR,2026-01-08T04:36:00+00:00,MCH_CAFE,"{'amount': '22491.27', 'settled_at': '2026-01-08T04:36:00+00:00'}",PAY_000118,2026-01-08T04:36:00+00:00,SET_000118,settlements.csv,settlements:SET_000118
62482.76,BATCH_20260108,INR,2026-01-08T03:43:00+00:00,MCH_HEALTH,"{'amount': '62482.76', 'settled_at': '2026-01-08T03:43:00+00:00'}",PAY_000119,2026-01-08T03:43:00+00:00,SET_000119,settlements.csv,settlements:SET_000119
